ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,star_rating,number_of_guests,is_superhost,number_of_reviews,cleaning_fee,host_rating,n_reviews,n_safety_features,n_amenities,n_house_rules,n_comments,n_ad_description,latitude,longitude,price,minimum_stay
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,500.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,499.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,500.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,500.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,500.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,499.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,499.0,5
47085905,3.0,3,3,5.0,6,true,4,200.0,4.925,131,1,10,2,131,10,-27.12929,-48.60223,500.0,5
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,692.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,750.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
22452333,2.0,3,4,5.0,6,false,106,240.0,4.82,46,4,51,4,46,2,-27.12038,-48.60771,634.0,3
